Area_id,Area Name,Weight,Volume,Fat,Saturate,Salt,Sugar,Protein,Carb,Fibre,Alcohol,energy_fat,energy_saturate,f_beer,f_dairy,f_eggs,f_fats_oils,f_fish,f_fruit_veg,f_grains,f_meat_red,f_poultry,f_readymade,f_sauces,f_soft_drinks,f_spirits,f_sweets,f_tea_coffee,f_water,f_wine,f_dairy_weight,f_eggs_weight,f_fats_oils_weight,f_fish_weight,f_fruit_veg_weight,f_grains_weight,f_meat_red_weight,f_poultry_weight,f_readymade_weight,f_sauces_weight,f_sweets_weight,representativeness_norm,transaction_days,num_transactions,man_day,population,male,female,age_0_17,age_18_64,age_65+,avg_age,area_sq_km,People_per_sqkms,weight_per_capita,volume_per_capita,Health_Score ,Fruits_to_sweets_Weight,Sugar_per_transaction,Grocery_density
E09000011,Greenwich,403.1896859,114.7362245,8.930749309,3.448167472,0.61330499,9.763084613,5.360270172,18.36607087,1.577789732,0.244098153,80.37674378,31.03350725,0.01580411,0.103941112,0.012592996,0.031427935,0.020723812,0.265656931,0.151305511,0.058502367,0.022817299,0.061153002,0.015885854,0.031261913,0.003666752,0.151162586,0.00614731,0.033341208,0.014609301,0.062320449,0.029453744,0.030236294,0.018875796,0.341876366,0.223069978,0.064423052,0.055529469,0.059519475,0.016162788,0.098532589,0.393502379,365,20076343,1795750,274542,137569,136973,66010,179854,28678,34.85864094,47.39,5793.247521,0.00146859,0.000417919,-6.273192182,3.469678094,0.133509214,423640.9158
E09000012,Hackney,405.9931962,111.5938228,8.946847789,3.477628812,0.605351054,9.694130421,5.273588987,17.7524421,1.569076133,0.228305274,80.5216301,31.2986593,0.012731127,0.105979256,0.012556818,0.034976463,0.024921176,0.281518047,0.144714797,0.050652949,0.020784311,0.049445586,0.015886842,0.032224709,0.003937909,0.150528774,0.006564455,0.038121224,0.014455558,0.061991293,0.029137166,0.033453946,0.021541074,0.349915841,0.225330352,0.05659443,0.054119856,0.049795647,0.015105895,0.1030145,0.368192716,365,22453809,1999259,268626,133429,135197,61120,188145,19361,32.97352825,19.08,14078.93082,0.00151137,0.000415425,-6.329094114,3.396762987,0.115975667,1176824.371
E09000013,Hammersmith and Fulham,368.8733724,102.8821757,8.885619014,3.505512439,0.58934269,8.911438172,5.509827375,16.0769947,1.630477613,0.254459181,79.97057112,31.54961195,0.014095124,0.110326337,0.013749214,0.031537685,0.028036577,0.321304994,0.129187938,0.054152916,0.0214595,0.050060996,0.015214443,0.021907632,0.00263721,0.134442871,0.005430382,0.025854984,0.020601198,0.075190459,0.028402636,0.028424765,0.025454639,0.386222037,0.182508949,0.059982364,0.051259169,0.055797299,0.015823806,0.090933877,0.560938892,365,20534866,1879110,182183,89454,92729,34398,129350,18435,35.6878139,16.4,11108.71951,0.002024741,0.000564719,-5.276645624,4.247284392,0.079061268,1252125.976
E09000014,Haringey,401.7296186,111.3946661,9.040818192,3.536427777,0.611105797,9.371023184,5.41492036,17.46751386,1.612258998,0.245102296,81.36736373,31.82784999,0.01254724,0.105864179,0.013671457,0.034652111,0.025943603,0.288084922,0.141799494,0.056262473,0.022195484,0.050051733,0.016230185,0.028001156,0.003365931,0.144788357,0.00625954,0.033192,0.017090135,0.063904497,0.031007952,0.032270934,0.023634753,0.359857861,0.208485926,0.062656993,0.054772476,0.050768596,0.015679593,0.096960418,0.482647811,365,27513713,2108494,268251,134472,133779,60298,182741,25212,34.98277732,29.6,9062.533784,0.001497589,0.000415263,-5.880271602,3.711389328,0.091364853,929517.3311
E09000015,Harrow,427.891938,133.1059771,8.765161779,3.565429829,0.556316457,10.05111426,5.008822079,18.35106028,1.618491347,0.20592188,78.88645602,32.08886845,0.010951217,0.121502007,0.012679854,0.033142972,0.017488498,0.2931655,0.149031583,0.04326849,0.018702921,0.049640772,0.015555493,0.025636687,0.002984813,0.158022349,0.005129993,0.030093076,0.013003775,0.063004109,0.02469999,0.029507961,0.015668478,0.368439938,0.244903025,0.046188654,0.044448332,0.047252155,0.015472654,0.100414702,0.747110313,365,30302784,2651032,246818,122713,124105,57186,152725,36907,38.03760666,50.42,4895.239984,0.001733633,0.000539288,-6.989230665,3.66918319,0.081866931,601007.2194
E09000016,Havering,319.1556869,99.90938731,9.250358474,3.544364068,0.582316872,11.4554781,5.375219501,20.25052,1.681965824,0.201048365,83.25322626,31.89927661,0.012316256,0.087823678,0.007310431,0.020587201,0.016578893,0.240150826,0.174517984,0.0435822,0.019507339,0.090930364,0.012405897,0.034790608,0.003047794,0.188977806,0.006588092,0.028724205,0.012160426,0.058364077,0.021344482,0.025623946,0.017495324,0.348276007,0.206071417,0.055994845,0.049889038,0.07146188,0.01594881,0.129530175,0.166210037,364,2746294,421583,249375,119743,129632,54279,149202,45894,40.05118797,112.44,2217.84952,0.001279822,0.000400639,-7.942656846,2.688763504,1.040205401,24424.52864
E09000017,Hillingdon,374.7379509,119.7925701,8.830852128,3.604965686,0.59090885,10.15458203,5.312310364,18.09265655,1.597778172,0.265565006,79.47766915,32.44469117,0.014083037,0.111702848,0.00995326,0.029879676,0.018714925,0.278668291,0.14251237,0.052968145,0.022437076,0.061800035,0.01807396,0.024096201,0.002734103,0.162179166,0.005054303,0.024909005,0.020233599,0.065227517,0.021408492,0.031273595,0.018362827,0.367753144,0.192166548,0.060271761,0.052055755,0.067339121,0.019127876,0.105013365,0.329134991,364,12991039,1168640,296056,147929,148127,70644,186478,38934,36.37235861,115.71,2558.603405,0.001265767,0.000404628,-6.849459181,3.501965155,0.231415281,112272.3965
E09000018,Hounslow,336.9229445,105.2018112,9.263180991,3.653928596,0.577264829,10.39952129,5.283108261,18.08525394,1.684657973,0.233290668,83.36862892,32.88535736,0.014149616,0.105079966,0.010154295,0.025076981,0.019999572,0.2851826,0.1515304,0.043194774,0.017747702,0.068122465,0.013022637,0.02857902,0.003297941,0.165895077,0.006365161,0.026237367,0.016364425,0.072349294,0.025613033,0.025295346,0.020425479,0.36887975,0.201381012,0.053397139,0.04555687,0.061535023,0.015193439,0.110373616,0.126128237,365,2677909,365032,266412,134797,131615,62349,173737,30326,35.74139678,55.95,4761.608579,0.001264669,0.000394884,-7.085683651,3.342100807,1.034597242,47862.53798
E09000019,Islington,357.45274,104.5409914,8.796319996,3.449646216,0.584038874,9.433484639,5.429345534,16.86152229,1.608168233,0.28268173,79.16687997,31.04681594,0.0180658,0.104735707,0.012306404,0.028074703,0.023295072,0.296633726,0.138556837,0.051390366,0.021927737,0.058048151,0.015673757,0.028953095,0.0035796,0.144908328,0.005390239,0.027429941,0.021030536,0.066045878,0.027170987,0.027813916,0.022428632,0.371060931,0.194946528,0.061151988,0.053047257,0.064111225,0.017271008,0.09495165,0.337538243,365,13897938,1535553,227507,113683,113824,40109,167416,19982,34.48417411,14.9,15268.92617,0.001571172,0.000459507,-5.845617089,3.907893433,0.15442462,932747.5168
E09000020,Kensington and Chelsea,372.6087654,100.5666293,8.650872744,3.44330808,0.571556915,8.645323055,5.394421921,15.73052384,1.610101799,0.281890031,77.8578547,30.98977272,0.013193154,0.114339987,0.015261119,0.032041846,0.028688727,0.333247206,0.125741144,0.048621452,0.020860625,0.046951437,0.013302048,0.020446214,0.003350052,0.128019535,0.005946025,0.026935277,0.02305415,0.079828684,0.033783523,0.026339059,0.025966296,0.391148351,0.179879719,0.054885062,0.05248023,0.051078841,0.013638308,0.090971927,0.379381743,365,13659812,1279530,158589,78878,79711,28328,107647,22614,38.88847272,12.11,13095.70603,0.002349525,0.000634134,-5.084107416,4.299659954,0.100371304,1127977.87
E09000021,Kingston upon Thames,297.3791743,95.00663151,9.293907218,3.562829496,0.568681054,10.97042086,5.355681155,18.74721733,1.743737672,0.235684669,83.64516497,32.06546547,0.018333287,0.094368887,0.008886939,0.020724231,0.018933469,0.267837892,0.161990518,0.038356218,0.018225646,0.085631994,0.011538832,0.032124433,0.003199885,0.172448043,0.006039335,0.025765436,0.015594955,0.070651204,0.024162097,0.023637107,0.021002921,0.359830124,0.191069239,0.050634118,0.046091541,0.074199028,0.015527186,0.123195436,0.001,365,858899,145265,171609,84301,87308,37534,111139,22936,37.07246123,37.26,4605.716586,0.001732888,0.000553623,-7.433831529,2.920807274,2.191902602,23051.50295
E09000022,Lambeth,397.0969051,103.5189018,8.715066665,3.36518119,0.608034814,9.299810165,5.436347217,17.20133446,1.588734811,0.256282363,78.43559999,30.28663071,0.014585261,0.104644782,0.01292307,0.032865149,0.026723697,0.291618293,0.140664117,0.055078157,0.023181107,0.049697014,0.01694618,0.029261191,0.003671747,0.139531522,0.00612848,0.034450322,0.01802991,0.067172167,0.028370644,0.03087631,0.024625454,0.355178111,0.2121123,0.062302583,0.057764371,0.051852033,0.016558512,0.093187516,0.526050035,365,33399023,2827972,320736,160869,159867,62418,233025,25293,34.32011997,26.82,11958.83669,0.00123808,0.000322754,-5.639909327,3.811434468,0.08930752,1245302.871
E09000023,Lewisham,399.1819102,105.6283724,8.799224306,3.409291985,0.614359369,9.764507414,5.365823135,18.05607139,1.576868164,0.244745844,79.19301876,30.68362786,0.014110824,0.101161597,0.011755004,0.032290336,0.023906003,0.272404033,0.145198617,0.057924935,0.022074298,0.054434513,0.017355781,0.032842825,0.00398419,0.153052247,0.006423691,0.035596948,0.015484158,0.061004016,0.026440722,0.03272271,0.022362972,0.352522546,0.212160089,0.065209478,0.055466066,0.055225401,0.017326544,0.099559455,0.538372249,365,29986860,2612931,294999,144943,150056,67332,200119,27548,34.88531148,35.17,8387.802104,0.001353164,0.000358063,-6.2311081,3.54082437,0.096059405,852626.1018
E09000024,Merton,336.747006,103.7538128,8.937439465,3.543176318,0.557648018,10.25067665,5.232353442,17.49878218,1.643266368,0.27802993,80.43695518,31.88858686,0.018075813,0.107366482,0.011506416,0.025276082,0.018984606,0.286428845,0.147620505,0.044786774,0.020052087,0.063063751,0.01390744,0.029373951,0.003469583,0.157016969,0.005617913,0.025902427,0.021550355,0.068638352,0.026087919,0.026224928,0.019266913,0.361201714,0.20643143,0.054966051,0.051034618,0.065585002,0.016162128,0.104400943,0.403628094,364,6431064,923444,205965,101313,104652,46260,134778,24927,36.59316389,37.64,5471.971307,0.001634972,0.000503745,-6.918233156,3.459755288,0.328294139,170857.1732
E09000025,Newham,450.3499033,136.7035614,9.360891865,3.740253487,0.56612857,10.62147657,4.983205758,19.27922006,1.530124979,0.183138123,84.24802679,33.66228138,0.012108435,0.114937963,0.013791303,0.037929684,0.01976766,0.254553869,0.154189245,0.042993851,0.017083287,0.047976242,0.013368653,0.03512115,0.003464427,0.177719289,0.00564568,0.040647308,0.008701956,0.059864945,0.032693469,0.031311155,0.016694582,0.319434345,0.288975252,0.044596663,0.040950229,0.04205987,0.013308946,0.110110545,0.512230333,365,30147202,2839005,336254,176602,159652,83982,228855,23417,32.03827166,36.21,9286.219276,0.001339315,0.000406549,-7.848399319,2.901033191,0.118469169,832565.6448
